Designator,Mid X,Mid Y,Rotation,Layer
C1,15.6,-8.0,270.0,top
C10,2.6875,-49.2,180.0,top
C11,2.6875,-46.2,180.0,top
C12,2.6875,-43.2,180.0,top
C2,14.1,-8.0,270.0,top
C3,3.0,-10.0,180.0,top
C4,3.0,-8.5,0.0,top
C5,11.1,-8.0,90.0,top
C6,12.6,-8.0,90.0,top
C7,8.1,-8.0,90.0,top
DISP1,11.5,-2.5,270.0,bottom
J1,3.2,-18.0,90.0,top
J2,4.69,-57.0,270.0,top
R1,6.6,-8.0,90.0,top
R11,2.6875,-47.7,180.0,top
R2,9.6,-8.0,270.0,top
R3,2.6875,-44.7,180.0,top
R4,2.6875,-41.7,180.0,top
SW3,7.2,-45.5,270.0,top
U1,4.6875,-29.0,270.0,top
