Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",402,3,DNP,
"C15, C6",402,2,100n,
"C4, C5",402,2,1u,
C7,402,1,10uf,
"D1, D3, D4",D_SOD-323,3,1N4148WS,
D5,603,1,LED,
"J1, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
L1,402,1,0R,
"Q1, Q2",SOT-23,2,Q_NMOS_GSD,
Q5,SOT-23,1,MMBT3904,
Q6,SOT-23,1,Q_PMOS_GSD,
"R1, R4, R11, R12, R13, R17, R19, R2, R3, R5, R9",402,10,10k,
"R10, R14, R18, R20",402,4,12k,
"R21, R22, R24",402,3,120,
"R23, R25",402,2,100k,
R26,402,1,2.7k,
R34,402,2,330,
R6,402,1,1k,
R7,402,1,5.6k,
R8,402,1,47k,
SX1,sx70_i2c,1,sx~,
U1,AN2051-245,1,~,
U3,SOT-23-5,1,SPX3819M5-L-3-3,
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.1x5.1mm_ThermalVias,1,ESP32-PICO-D4,
U5,OPT4001-DTS0008A-MFG,1,OPT4001DTSR,
